Indicator,Request URL
Summation,https://api.taapi.io/sum?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Super Trend,https://api.taapi.io/supertrend?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Triple Exponential Moving Average (T3),https://api.taapi.io/t3?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Takuri,https://api.taapi.io/takuri?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Trigonometric Tan,https://api.taapi.io/tan?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Trigonometric Tanh,https://api.taapi.io/tanh?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Tasuki Gap,https://api.taapi.io/tasukigap?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Tom Demark’s Sequential,https://api.taapi.io/tdsequential?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Triple Exponential Moving Average,https://api.taapi.io/tema?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Thrusting Pattern,https://api.taapi.io/thrusting?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Degree Conversion,https://api.taapi.io/todeg?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Radian Conversion,https://api.taapi.io/torad?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
True range,https://api.taapi.io/tr?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Triangular Moving Average,https://api.taapi.io/trima?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Tristar Pattern,https://api.taapi.io/tristar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
TRIX,https://api.taapi.io/trix?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Truncate,https://api.taapi.io/trunc?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Time Series Forecast,https://api.taapi.io/tsf?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Typical Price,https://api.taapi.io/typprice?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Ultimate Oscillator,https://api.taapi.io/ultosc?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Unique 3 River,https://api.taapi.io/unique3river?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Upside Gap Two Crows,https://api.taapi.io/upsidegap2crows?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Variance,https://api.taapi.io/var?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vertical Horizontal Filter,https://api.taapi.io/vhf?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Variable Index Dynamic Average,https://api.taapi.io/vidya?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&short_period=10&long_period=24&alpha=0
Annualized Historical Volatility,https://api.taapi.io/volatility?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
